timestamp,target_ip,username,password,result
2026-05-20T11:39:20.353939,192.168.21.165,admin,335944,BAD_CREDENTIALS
2026-05-20T11:39:20.359274,192.168.21.165,admin,317593,BAD_CREDENTIALS
2026-05-20T11:39:20.353131,192.168.21.165,admin,345008,BAD_CREDENTIALS
2026-05-20T11:39:20.359625,192.168.21.165,admin,399408,BAD_CREDENTIALS
2026-05-20T11:39:20.360381,192.168.21.165,admin,189089,BAD_CREDENTIALS
2026-05-20T11:39:20.379024,192.168.21.165,admin,27282,BAD_CREDENTIALS
2026-05-20T11:39:20.384936,192.168.21.165,admin,128342,BAD_CREDENTIALS
2026-05-20T11:39:20.384753,192.168.21.165,admin,186488,BAD_CREDENTIALS
2026-05-20T11:39:20.390803,192.168.21.165,admin,Relay@1,BAD_CREDENTIALS
2026-05-20T11:39:20.396047,192.168.21.165,admin,285055,BAD_CREDENTIALS
2026-05-20T11:39:20.401382,192.168.21.165,admin,58956,BAD_CREDENTIALS
2026-05-20T11:39:20.405109,192.168.21.165,admin,310374,BAD_CREDENTIALS
2026-05-20T11:39:21.339760,192.168.21.165,admin,470956,BAD_CREDENTIALS
2026-05-20T11:39:21.343993,192.168.21.165,admin,318243,BAD_CREDENTIALS
2026-05-20T11:39:21.346813,192.168.21.165,admin,194889,BAD_CREDENTIALS
2026-05-20T11:39:21.348877,192.168.21.165,admin,Alarm*9,BAD_CREDENTIALS
2026-05-20T11:39:21.351778,192.168.21.165,admin,349085,BAD_CREDENTIALS
2026-05-20T11:39:21.355465,192.168.21.165,admin,1170,BAD_CREDENTIALS
2026-05-20T11:39:21.370005,192.168.21.165,admin,104885,BAD_CREDENTIALS
2026-05-20T11:39:21.373850,192.168.21.165,admin,281647,BAD_CREDENTIALS
2026-05-20T11:39:21.375622,192.168.21.165,admin,258200,BAD_CREDENTIALS
2026-05-20T11:39:21.391761,192.168.21.165,admin,184303,BAD_CREDENTIALS
2026-05-20T11:39:21.390846,192.168.21.165,admin,438232,BAD_CREDENTIALS
2026-05-20T11:39:21.393299,192.168.21.165,admin,193328,BAD_CREDENTIALS
2026-05-20T11:39:21.406402,192.168.21.165,admin,203741,BAD_CREDENTIALS
2026-05-20T11:39:21.403319,192.168.21.165,admin,456171,BAD_CREDENTIALS
2026-05-20T11:39:21.419481,192.168.21.165,admin,77498,BAD_CREDENTIALS
2026-05-20T11:39:21.424565,192.168.21.165,admin,144323,BAD_CREDENTIALS
2026-05-20T11:39:21.429247,192.168.21.165,admin,396203,BAD_CREDENTIALS
2026-05-20T11:39:21.434374,192.168.21.165,admin,345087,BAD_CREDENTIALS
2026-05-20T11:39:21.437875,192.168.21.165,admin,168161,BAD_CREDENTIALS
2026-05-20T11:39:22.364805,192.168.21.165,admin,197734,BAD_CREDENTIALS
2026-05-20T11:39:22.368384,192.168.21.165,admin,89107,BAD_CREDENTIALS
2026-05-20T11:39:22.371474,192.168.21.165,admin,405327,BAD_CREDENTIALS
2026-05-20T11:39:22.376511,192.168.21.165,admin,347098,BAD_CREDENTIALS
2026-05-20T11:39:22.393230,192.168.21.165,admin,120941,BAD_CREDENTIALS
2026-05-20T11:39:22.398986,192.168.21.165,admin,62646,BAD_CREDENTIALS
2026-05-20T11:39:22.401720,192.168.21.165,admin,164545,BAD_CREDENTIALS
2026-05-20T11:39:22.404510,192.168.21.165,admin,252579,BAD_CREDENTIALS
2026-05-20T11:39:22.406605,192.168.21.165,admin,49693,BAD_CREDENTIALS
2026-05-20T11:39:22.411056,192.168.21.165,admin,266816,BAD_CREDENTIALS
2026-05-20T11:39:22.413545,192.168.21.165,admin,349480,BAD_CREDENTIALS
2026-05-20T11:39:22.416161,192.168.21.165,admin,459000,BAD_CREDENTIALS
2026-05-20T11:39:22.420583,192.168.21.165,admin,34121,BAD_CREDENTIALS
2026-05-20T11:39:22.424586,192.168.21.165,admin,359225,BAD_CREDENTIALS
2026-05-20T11:39:22.426431,192.168.21.165,admin,60271,BAD_CREDENTIALS
2026-05-20T11:39:22.433047,192.168.21.165,admin,175070,BAD_CREDENTIALS
2026-05-20T11:39:22.436544,192.168.21.165,admin,187902,BAD_CREDENTIALS
2026-05-20T11:39:22.438014,192.168.21.165,admin,1234567pi,BAD_CREDENTIALS
2026-05-20T11:39:22.447027,192.168.21.165,admin,192485,BAD_CREDENTIALS
2026-05-20T11:39:22.447588,192.168.21.165,admin,206894,BAD_CREDENTIALS
2026-05-20T11:39:22.452537,192.168.21.165,admin,34213,BAD_CREDENTIALS
2026-05-20T11:39:22.454612,192.168.21.165,admin,88304,BAD_CREDENTIALS
2026-05-20T11:39:22.457723,192.168.21.165,admin,163550,BAD_CREDENTIALS
2026-05-20T11:39:22.460883,192.168.21.165,admin,355465,BAD_CREDENTIALS
2026-05-20T11:39:22.463246,192.168.21.165,admin,35913,BAD_CREDENTIALS
