timestamp,target,username,password,rc,latency_ms,result
2026-05-05T17:25:42.507163,192.168.21.239,admin,189089,5,17.61,BAD_CREDENTIALS
2026-05-05T17:25:42.505295,192.168.21.239,admin,349085,5,15.55,BAD_CREDENTIALS
2026-05-05T17:25:42.509024,192.168.21.239,admin,335944,5,18.78,BAD_CREDENTIALS
2026-05-05T17:25:42.509236,192.168.21.239,admin,Alarm*9,5,20.24,BAD_CREDENTIALS
2026-05-05T17:25:42.513784,192.168.21.239,admin,317593,5,18.11,BAD_CREDENTIALS
2026-05-05T17:25:42.526162,192.168.21.239,admin,27282,5,6.88,BAD_CREDENTIALS
2026-05-05T17:25:42.526699,192.168.21.239,admin,184303,5,7.21,BAD_CREDENTIALS
2026-05-05T17:25:42.532227,192.168.21.239,admin,128342,5,11.94,BAD_CREDENTIALS
2026-05-05T17:25:42.531407,192.168.21.239,admin,193328,5,8.67,BAD_CREDENTIALS
2026-05-05T17:25:42.534098,192.168.21.239,admin,186488,5,8.9,BAD_CREDENTIALS
2026-05-05T17:25:42.546527,192.168.21.239,admin,285055,5,7.15,BAD_CREDENTIALS
2026-05-05T17:25:42.548677,192.168.21.239,admin,456171,5,9.37,BAD_CREDENTIALS
2026-05-05T17:25:42.547049,192.168.21.239,admin,203741,5,6.4,BAD_CREDENTIALS
2026-05-05T17:25:42.558472,192.168.21.239,admin,77498,5,4.51,BAD_CREDENTIALS
2026-05-05T17:25:42.559898,192.168.21.239,admin,318243,5,5.85,BAD_CREDENTIALS
2026-05-05T17:25:42.562581,192.168.21.239,admin,197734,5,3.14,BAD_CREDENTIALS
2026-05-05T17:25:42.565460,192.168.21.239,admin,104885,5,4.62,BAD_CREDENTIALS
2026-05-05T17:25:42.567977,192.168.21.239,admin,281647,5,4.27,BAD_CREDENTIALS
2026-05-05T17:25:42.569812,192.168.21.239,admin,258200,5,2.86,BAD_CREDENTIALS
2026-05-05T17:25:42.572257,192.168.21.239,admin,438232,5,2.65,BAD_CREDENTIALS
2026-05-05T17:25:42.573991,192.168.21.239,admin,120941,5,2.55,BAD_CREDENTIALS
2026-05-05T17:25:42.577247,192.168.21.239,admin,164545,5,3.43,BAD_CREDENTIALS
2026-05-05T17:25:42.582299,192.168.21.239,admin,349480,5,3.36,BAD_CREDENTIALS
2026-05-05T17:25:42.586278,192.168.21.239,admin,34121,5,3.23,BAD_CREDENTIALS
2026-05-05T17:25:42.591006,192.168.21.239,admin,144323,5,3.76,BAD_CREDENTIALS
2026-05-05T17:25:42.595753,192.168.21.239,admin,60271,5,3.92,BAD_CREDENTIALS
2026-05-05T17:25:42.599899,192.168.21.239,admin,396203,5,3.23,BAD_CREDENTIALS
2026-05-05T17:25:42.603178,192.168.21.239,admin,187902,5,2.63,BAD_CREDENTIALS
2026-05-05T17:25:42.607621,192.168.21.239,admin,1234567pi,5,3.7,BAD_CREDENTIALS
2026-05-05T17:25:42.611967,192.168.21.239,admin,345087,5,3.54,BAD_CREDENTIALS
2026-05-05T17:25:42.616213,192.168.21.239,admin,168161,5,3.46,BAD_CREDENTIALS
2026-05-05T17:25:42.620812,192.168.21.239,admin,192485,5,3.76,BAD_CREDENTIALS
2026-05-05T17:25:42.624227,192.168.21.239,admin,89107,5,2.7,BAD_CREDENTIALS
2026-05-05T17:25:42.628128,192.168.21.239,admin,405327,5,2.9,BAD_CREDENTIALS
2026-05-05T17:25:42.632884,192.168.21.239,admin,347098,5,3.73,BAD_CREDENTIALS
2026-05-05T17:25:42.636938,192.168.21.239,admin,117241,5,2.91,BAD_CREDENTIALS
2026-05-05T17:25:42.641024,192.168.21.239,admin,75722,5,3.03,BAD_CREDENTIALS
2026-05-05T17:25:42.645337,192.168.21.239,admin,252579,5,2.9,BAD_CREDENTIALS
2026-05-05T17:25:42.650080,192.168.21.239,admin,49693,5,3.57,BAD_CREDENTIALS
2026-05-05T17:25:42.654245,192.168.21.239,admin,72310,5,2.91,BAD_CREDENTIALS
2026-05-05T17:25:43.011829,192.168.21.239,admin,345008,5,22.73,BAD_CREDENTIALS
2026-05-05T17:25:43.013100,192.168.21.239,admin,470956,5,32.22,BAD_CREDENTIALS
2026-05-05T17:25:43.018496,192.168.21.239,admin,194889,5,23.85,BAD_CREDENTIALS
2026-05-05T17:25:43.019379,192.168.21.239,admin,1170,5,18.53,BAD_CREDENTIALS
2026-05-05T17:25:43.020341,192.168.21.239,admin,399408,5,22.51,BAD_CREDENTIALS
2026-05-05T17:25:43.024962,192.168.21.239,admin,175070,5,3.39,BAD_CREDENTIALS
2026-05-05T17:25:43.027785,192.168.21.239,admin,92788,5,3.8,BAD_CREDENTIALS
2026-05-05T17:25:43.030585,192.168.21.239,admin,135173,5,3.35,BAD_CREDENTIALS
2026-05-05T17:25:43.032315,192.168.21.239,admin,212498,5,2.79,BAD_CREDENTIALS
2026-05-05T17:25:43.036813,192.168.21.239,admin,206894,5,3.96,BAD_CREDENTIALS
2026-05-05T17:25:43.041923,192.168.21.239,admin,88304,5,4.16,BAD_CREDENTIALS
2026-05-05T17:25:43.046015,192.168.21.239,admin,34213,5,3.28,BAD_CREDENTIALS
2026-05-05T17:25:43.048401,192.168.21.239,admin,Relay@1,5,9.71,BAD_CREDENTIALS
2026-05-05T17:25:43.051139,192.168.21.239,admin,163550,5,4.21,BAD_CREDENTIALS
2026-05-05T17:25:43.056135,192.168.21.239,admin,58956,5,8.37,BAD_CREDENTIALS
2026-05-05T17:25:43.062968,192.168.21.239,admin,141644,5,4.78,BAD_CREDENTIALS
2026-05-05T17:25:43.062342,192.168.21.239,admin,310374,5,4.28,BAD_CREDENTIALS
2026-05-05T17:25:43.068103,192.168.21.239,admin,151447,5,2.95,BAD_CREDENTIALS
2026-05-05T17:25:43.069516,192.168.21.239,admin,233318,5,4.6,BAD_CREDENTIALS
2026-05-05T17:25:43.072320,192.168.21.239,admin,253607,5,3.28,BAD_CREDENTIALS
2026-05-05T17:25:43.084099,192.168.21.239,admin,62646,5,4.23,BAD_CREDENTIALS
2026-05-05T17:25:43.089755,192.168.21.239,admin,112249,5,4.73,BAD_CREDENTIALS
2026-05-05T17:25:43.095100,192.168.21.239,admin,431204,5,4.07,BAD_CREDENTIALS
2026-05-05T17:25:43.099014,192.168.21.239,admin,466664,5,2.99,BAD_CREDENTIALS
2026-05-05T17:25:43.103548,192.168.21.239,admin,141700,5,3.43,BAD_CREDENTIALS
2026-05-05T17:25:43.108035,192.168.21.239,admin,422231,5,3.54,BAD_CREDENTIALS
2026-05-05T17:25:43.112406,192.168.21.239,admin,222071,5,2.92,BAD_CREDENTIALS
2026-05-05T17:25:43.117189,192.168.21.239,admin,380823,5,3.96,BAD_CREDENTIALS
2026-05-05T17:25:43.121460,192.168.21.239,admin,326677,5,3.09,BAD_CREDENTIALS
2026-05-05T17:25:43.127065,192.168.21.239,admin,167095,5,4.68,BAD_CREDENTIALS
2026-05-05T17:25:43.131459,192.168.21.239,admin,alarm8,5,3.32,BAD_CREDENTIALS
2026-05-05T17:25:43.137087,192.168.21.239,admin,136999,5,4.81,BAD_CREDENTIALS
2026-05-05T17:25:43.141246,192.168.21.239,admin,74629,5,3.19,BAD_CREDENTIALS
2026-05-05T17:25:43.145382,192.168.21.239,admin,152565,5,3.16,BAD_CREDENTIALS
2026-05-05T17:25:43.148944,192.168.21.239,admin,107615,5,2.63,BAD_CREDENTIALS
2026-05-05T17:25:43.153217,192.168.21.239,admin,458658,5,3.49,BAD_CREDENTIALS
2026-05-05T17:25:43.157721,192.168.21.239,admin,16242,5,3.02,BAD_CREDENTIALS
2026-05-05T17:25:43.163578,192.168.21.239,admin,382223,5,4.87,BAD_CREDENTIALS
2026-05-05T17:25:43.163475,192.168.21.239,admin,266816,5,3.38,BAD_CREDENTIALS
2026-05-05T17:25:43.168679,192.168.21.239,admin,337379,5,3.32,BAD_CREDENTIALS
